start, stop
Mon Sep 14 22:10:29 2015,Mon Sep 14 22:10:34 2015
Mon Sep 14 22:15:53 2015,Mon Sep 14 22:15:58 2015
Mon Sep 14 22:19:51 2015,Mon Sep 14 22:19:56 2015
Mon Sep 14 22:20:21 2015,Mon Sep 14 22:20:26 2015
Mon Sep 14 22:20:51 2015,Mon Sep 14 22:20:57 2015
Mon Sep 14 22:21:21 2015,Mon Sep 14 22:21:26 2015
Mon Sep 14 22:21:51 2015,Mon Sep 14 22:21:56 2015
Mon Sep 14 22:22:21 2015,Mon Sep 14 22:22:26 2015
Mon Sep 14 22:22:51 2015,Mon Sep 14 22:22:56 2015
Mon Sep 14 22:23:21 2015,Mon Sep 14 22:23:26 2015
Mon Sep 14 22:23:51 2015,Mon Sep 14 22:23:56 2015
Mon Sep 14 22:24:21 2015,Mon Sep 14 22:24:25 2015
Mon Sep 14 22:24:51 2015,Mon Sep 14 22:24:56 2015
Mon Sep 14 22:25:21 2015,Mon Sep 14 22:25:27 2015
Mon Sep 14 22:25:51 2015,Mon Sep 14 22:25:56 2015
Mon Sep 14 22:26:21 2015,Mon Sep 14 22:26:26 2015
Mon Sep 14 22:26:51 2015,Mon Sep 14 22:26:56 2015
Mon Sep 14 22:27:21 2015,Mon Sep 14 22:27:26 2015
Mon Sep 14 22:27:51 2015,Mon Sep 14 22:27:56 2015
Mon Sep 14 22:28:21 2015,Mon Sep 14 22:28:26 2015
Mon Sep 14 22:28:51 2015,Mon Sep 14 22:28:56 2015
Mon Sep 14 22:29:21 2015,Mon Sep 14 22:29:26 2015
Mon Sep 14 22:31:37 2015,Mon Sep 14 22:31:42 2015
Mon Sep 14 22:32:07 2015,Mon Sep 14 22:32:11 2015
Mon Sep 14 22:32:37 2015,Mon Sep 14 22:32:42 2015
Mon Sep 14 22:33:07 2015,Mon Sep 14 22:33:12 2015
Mon Sep 14 22:33:37 2015,Mon Sep 14 22:33:41 2015
Mon Sep 14 22:34:07 2015,Mon Sep 14 22:34:13 2015
Mon Sep 14 22:34:37 2015,Mon Sep 14 22:34:42 2015
Mon Sep 14 22:35:07 2015,Mon Sep 14 22:35:12 2015
Mon Sep 14 22:35:37 2015,Mon Sep 14 22:35:42 2015
Mon Sep 14 22:36:07 2015,Mon Sep 14 22:36:12 2015
Mon Sep 14 22:36:37 2015,Mon Sep 14 22:36:42 2015
Mon Sep 14 22:37:07 2015,Mon Sep 14 22:37:12 2015
Mon Sep 14 22:37:37 2015,Mon Sep 14 22:37:42 2015
Mon Sep 14 22:38:07 2015,Mon Sep 14 22:38:11 2015
Mon Sep 14 22:38:37 2015,Mon Sep 14 22:38:42 2015
Mon Sep 14 22:39:07 2015,Mon Sep 14 22:39:11 2015
Mon Sep 14 22:39:37 2015,Mon Sep 14 22:39:41 2015
Mon Sep 14 22:40:07 2015,Mon Sep 14 22:40:11 2015
Mon Sep 14 22:40:37 2015,Mon Sep 14 22:40:41 2015
Mon Sep 14 22:41:07 2015,Mon Sep 14 22:41:11 2015
Mon Sep 14 22:41:37 2015,Mon Sep 14 22:41:42 2015
Mon Sep 14 22:42:07 2015,Mon Sep 14 22:42:11 2015
Mon Sep 14 22:42:37 2015,Mon Sep 14 22:42:41 2015
Mon Sep 14 22:43:07 2015,Mon Sep 14 22:43:11 2015
Mon Sep 14 22:43:37 2015,Mon Sep 14 22:43:41 2015
Mon Sep 14 22:44:07 2015,Mon Sep 14 22:44:12 2015
Mon Sep 14 22:44:37 2015,Mon Sep 14 22:44:41 2015
Mon Sep 14 22:45:07 2015,Mon Sep 14 22:45:11 2015
Mon Sep 14 22:45:37 2015,Mon Sep 14 22:45:41 2015
Mon Sep 14 22:46:07 2015,Mon Sep 14 22:46:11 2015
Mon Sep 14 22:46:37 2015,Mon Sep 14 22:46:41 2015
Mon Sep 14 22:47:07 2015,Mon Sep 14 22:47:11 2015
Mon Sep 14 22:47:37 2015,Mon Sep 14 22:47:41 2015
Mon Sep 14 22:48:07 2015,Mon Sep 14 22:48:14 2015
Mon Sep 14 22:48:37 2015,Mon Sep 14 22:48:42 2015
Mon Sep 14 22:49:07 2015,Mon Sep 14 22:49:12 2015
Mon Sep 14 22:49:37 2015,Mon Sep 14 22:49:42 2015
Mon Sep 14 22:50:07 2015,Mon Sep 14 22:50:12 2015
Mon Sep 14 22:50:37 2015,Mon Sep 14 22:50:42 2015
Mon Sep 14 22:51:07 2015,Mon Sep 14 22:51:11 2015
Mon Sep 14 22:51:37 2015,Mon Sep 14 22:51:42 2015
Mon Sep 14 22:52:07 2015,Mon Sep 14 22:52:12 2015
Mon Sep 14 22:52:37 2015,Mon Sep 14 22:52:41 2015
Mon Sep 14 22:53:07 2015,Mon Sep 14 22:53:11 2015
Mon Sep 14 22:53:37 2015,Mon Sep 14 22:53:41 2015
Mon Sep 14 22:54:07 2015,Mon Sep 14 22:54:12 2015
Mon Sep 14 22:54:37 2015,Mon Sep 14 22:54:42 2015
Mon Sep 14 22:55:07 2015,Mon Sep 14 22:55:12 2015
Mon Sep 14 22:55:37 2015,Mon Sep 14 22:55:42 2015
Mon Sep 14 22:56:07 2015,Mon Sep 14 22:56:11 2015
Mon Sep 14 22:56:37 2015,Mon Sep 14 22:56:41 2015
Mon Sep 14 22:57:07 2015,Mon Sep 14 22:57:11 2015
Mon Sep 14 22:57:37 2015,Mon Sep 14 22:57:42 2015
Mon Sep 14 22:58:07 2015,Mon Sep 14 22:58:11 2015
Mon Sep 14 22:58:37 2015,Mon Sep 14 22:58:42 2015
Mon Sep 14 22:59:07 2015,Mon Sep 14 22:59:12 2015
Mon Sep 14 23:21:10 2015,Mon Sep 14 23:21:16 2015
Mon Sep 14 23:21:40 2015,Mon Sep 14 23:21:44 2015
Mon Sep 14 23:23:50 2015,Mon Sep 14 23:23:54 2015
Mon Sep 14 23:24:20 2015,Mon Sep 14 23:24:24 2015
Mon Sep 14 23:24:50 2015,Mon Sep 14 23:24:54 2015
Mon Sep 14 23:30:55 2015,Mon Sep 14 23:30:59 2015
Mon Sep 14 23:31:25 2015,Mon Sep 14 23:31:28 2015
Mon Sep 14 23:31:55 2015,Mon Sep 14 23:31:59 2015
Mon Sep 14 23:32:25 2015,Mon Sep 14 23:32:29 2015
Mon Sep 14 23:32:55 2015,Mon Sep 14 23:32:58 2015
Mon Sep 14 23:33:25 2015,Mon Sep 14 23:33:29 2015
Mon Sep 14 23:33:55 2015,Mon Sep 14 23:33:59 2015
Mon Sep 14 23:34:25 2015,Mon Sep 14 23:34:28 2015
Mon Sep 14 23:34:55 2015,Mon Sep 14 23:34:59 2015
Mon Sep 14 23:35:25 2015,Mon Sep 14 23:35:28 2015
Mon Sep 14 23:35:55 2015,Mon Sep 14 23:35:58 2015
Mon Sep 14 23:36:25 2015,Mon Sep 14 23:36:28 2015
Mon Sep 14 23:36:55 2015,Mon Sep 14 23:36:58 2015
Mon Sep 14 23:37:25 2015,Mon Sep 14 23:37:28 2015
Mon Sep 14 23:37:55 2015,Mon Sep 14 23:37:58 2015
Mon Sep 14 23:38:25 2015,Mon Sep 14 23:38:28 2015
Mon Sep 14 23:38:55 2015,Mon Sep 14 23:38:58 2015
Mon Sep 14 23:39:25 2015,Mon Sep 14 23:39:28 2015
Mon Sep 14 23:39:55 2015,Mon Sep 14 23:39:58 2015
Mon Sep 14 23:40:25 2015,Mon Sep 14 23:40:28 2015
Mon Sep 14 23:40:55 2015,Mon Sep 14 23:41:01 2015
Mon Sep 14 23:41:25 2015,Mon Sep 14 23:41:28 2015
Mon Sep 14 23:41:55 2015,Mon Sep 14 23:41:58 2015
Mon Sep 14 23:42:25 2015,Mon Sep 14 23:42:30 2015
Mon Sep 14 23:42:55 2015,Mon Sep 14 23:42:58 2015
Mon Sep 14 23:43:25 2015,Mon Sep 14 23:43:28 2015
Mon Sep 14 23:43:55 2015,Mon Sep 14 23:43:58 2015
Mon Sep 14 23:44:25 2015,Mon Sep 14 23:44:28 2015
Mon Sep 14 23:44:55 2015,Mon Sep 14 23:44:58 2015
Mon Sep 14 23:45:25 2015,Mon Sep 14 23:45:28 2015
Mon Sep 14 23:45:55 2015,Mon Sep 14 23:45:58 2015
Mon Sep 14 23:46:25 2015,Mon Sep 14 23:46:28 2015
Mon Sep 14 23:46:55 2015,Mon Sep 14 23:46:58 2015
Mon Sep 14 23:47:25 2015,Mon Sep 14 23:47:28 2015
Mon Sep 14 23:47:55 2015,Mon Sep 14 23:48:00 2015
Mon Sep 14 23:48:25 2015,Mon Sep 14 23:48:29 2015
